Name,Salary
Cade Horton,5889021
Hunter Brown,5865486
Griffin Jax,5818191
Matthew Liberatore,5781347
Johan Oviedo,5683621
JoJo Romero,5623735
Mark Leiter Jr.,5600882
Garrett Whitlock,5500000
Chris Martin,5500000
Yuki Matsui,5500000
Bryse Wilson,5499064
Jorge Alcala,5360368
John Schreiber,5351605
Joey Wentz,5338916
Andrew Heaney,5291828
Felix Bautista,5178916
Brock Burke,5150662
Alex Vesia,5133379
Dennis Santana,5112886
Genesis Cabrera,5077929
Cade Cavalli,5047363
Quinn Priester,4991491
Emmanuel Clase,4900000
Ryan Feltner,4871669
Keegan Akin,4815455
Grant Holmes,4797690
Ryan Rolison,4779719
Merrill Kelly,4779569
Andre Pallante,4776813
Steven Okert,4768614
DL Hall,4673075
Enyel De Los Santos,4666008
Justin Topa,4525162
Gavin Williams,4518590
Bailey Falter,4517314
Ben Lively,4463842
Mick Abel,4357674
Jackson Rutledge,4294026
Anthony Bender,4280184
Wandy Peralta,4250000
Bryan Woo,4218179
Slade Cecconi,4207533
Trevor Megill,4191838
Andrew Abbott,4093079
Ryne Nelson,4075239
Tony Santillan,4029963
Jake Woodford,4010934
Luis Gil,4007713
Edward Cabrera,4004709
Spencer Strider,4000000
Mason Miller,3952456
Garrett Cleavinger,3911102
Will Vest,3903700
Gunnar Hoglund,3860403
Anthony Banda,3846391
Cole Winn,3832490
Ryan Pepiot,3826791
Carlos Hernandez,3817885
Carmen Mlodzinski,3794104
J.T. Ginn,3757741
Jose Castillo,3723964
Lucas Erceg,3707367
Matt Brash,3681292
Jacob Webb,3680469
Kyle Harrison,3677526
Hurston Waldrep,3633975
Steven Wilson,3622315
Justin Slaten,3607000
Jimmy Herget,3559526
Brendon Little,3500478
Aaron Bummer,3500000
Martin Perez,3500000
Nick Mears,3462602
Aaron Ashby,3450000
Jose Soriano,3444465
Yennier Cano,3413471
Tanner Bibee,3400000
Brennan Bernardino,3374489
Eury Perez,3347205
Chris Murphy,3327902
Bryce Miller,3306731
Scott Blewett,3278630
Brock Stewart,3252813
Luis Morales,3241075
John King,3229028
Logan Allen,3218957
Gabe Speier,3190448
Zack Kelly,3181620
Michael McGreevy,3178410
Shane Bieber,3172017
Bubba Chandler,3155269
Greg Weissert,3116892
Tyler Holton,3085040
Bryan Baker,3058524
Dylan Lee,3022498
Justin Wilson,3000000
John Curtiss,2985068
Bryce Elder,2963901
Spencer Schwellenbach,2962024
Reese Olson,2933345
Jake Irvin,2895063
Ronel Blanco,2890481
Andrew Kittredge,2854833
Connor Brogdon,2848669
Javier Assad,2845074
Angel Zerpa,2788446
Adam Mazur,2770091
Cole Sands,2768811
Sam Long,2744268
Andres Munoz,2687500
Cole Henry,2686816
Tristan Beck,2673214
Brayan Bello,2666666
Jeremiah Estrada,2648108
Taj Bradley,2631460
JP Sears,2609916
Lyon Richardson,2602875
Graham Ashcraft,2600020
Ian Hamilton,2594791
Noah Cameron,2593772
Braxton Ashcraft,2592730
Brandon Pfaadt,2568982
Victor Vodnik,2538033
Tanner Banks,2532122
Fernando Cruz,2510764
Yohan Ramirez,2505601
Nick Pivetta,2500000
Kyle Hendricks,2500000
Tim Hill,2500000
Jake Bird,2469564
Nabil Crismatt,2448053
Matt Festa,2447537
Ryan Walker,2437400
Hayden Wesneski,2424382
Kaleb Ort,2408202
Hunter Gaddis,2388507
Manuel Rodriguez,2387431
Cade Smith,2378608
Huascar Brazoban,2341069
Kyle Nicolas,2330508
Max Kranick,2314256
Emmet Sheehan,2270465
Drew Rasmussen,2250000
Kevin Kelly,2199741
Michael Kelly,2168822
Mason Englert,2166402
Stephen Kolek,2162407
Reed Garrett,2158541
Eduard Bazardo,2129891
Bennett Sousa,2125716
Grant Taylor,2113348
AJ Smith-Shawver,2089757
Jonathan Cannon,2087724
Cristopher Sanchez,2050000
Edwin Uceta,2043141
Calvin Faucher,2004274
Jack Kochanowicz,1997550
Tobias Myers,1993842
Hogan Harris,1965329
Robert Garcia,1957722
Erik Miller,1948300
Tyler Gilbert,1936856
Tommy Nance,1906137
Cade Povich,1894420
Orion Kerkering,1872839
Yerry De Los Santos,1792615
Anthony Molina,1782365
Tim Herrin,1778255
Sawyer Gipson-Long,1755726
Cam Booser,1718058
Thomas Hatch,1687992
Caden Dana,1687599
Richard Fitts,1682282
Jacob Latz,1655252
Sean Burke,1645590
Kyle Hart,1643290
Ian Seymour,1613653
Steven Cruz,1596767
Rico Garcia,1593198
Abner Uribe,1588782
Randy Rodriguez,1580829
Jared Koenig,1570070
Spencer Arrighetti,1563327
Ben Brown,1544852
Jordan Leasure,1535316
Mitchell Parker,1531976
Carlos Vargas,1502106
Grant Anderson,1501885
Shinnosuke Ogasawara,1500000
Will Warren,1484762
Brenan Hanifee,1473272
Parker Messick,1463441
Bryan King,1455537
Louie Varland,1455501
Tyler Ferguson,1454461
Hunter Dobbins,1439650
Jose Butto,1425296
Ryan Fernandez,1423585
Ryan Zeferjahn,1417186
Kyle Leahy,1408560
Janson Junk,1401319
Shawn Dubin,1391232
Mitch Spence,1372500
Angel Chivilli,1368665
Kody Funderburk,1364654
Osvaldo Bido,1362234
Davis Martin,1350034
Casey Legumina,1343694
Daniel Palencia,1305268
Porter Hodge,1298590
Joe Boyle,1283949
Drew Pomeranz,1282258
Jason Alexander,1277981
Riley O'Brien,1275609
Randy Vasquez,1238231
Nic Enright,1233713
Seth Halvorsen,1208666
Ronny Henriquez,1191178
Landon Knack,1172812
Landen Roupp,1170174
Chad Patrick,1166395
Jonathan Bowlan,1160295
Max Lazar,1134838
Lake Bachar,1134303
Ryan Gusto,1117280
Brant Hurter,1115272
Elvis Alvarado,1112688
Cole Ragans,1083333
Daysbel Hernandez,1079783
George Soriano,1068386
Spencer Bivens,1063350
Josh Simpson,1053143
Hayden Birdsong,1040869
Braydon Fisher,1038675
Shane Smith,1015276
Mason Fluharty,1009896
Matt Gage,1005780
Brandon Eisert,1004706
Brandon Walter,780000
Nolan McLean,780000
Matt Svanson,780000
Justin Wrobleski,780000
Jose A. Ferrer,780000
Sean Newcomb,780000
Jack Dreyer,780000
Dietrich Enns,780000
Shelby Miller,780000
Jacob Lopez,780000
Ben Casparius,780000
Justin Sterner,780000
Juan Mejia,780000
Dylan Dodd,780000
Jakob Junis,780000
Mike Burrows,780000
Joey Cantillo,780000
Eric Orze,780000
Isaac Mattson,780000
A.J. Blubaugh,780000
Andrew Chafin,780000
David Morgan,780000
Mason Montgomery,780000
Juan Morillo,780000
Chase Lee,780000
Cade Gibson,780000
Brad Lord,780000
Tyler Phillips,780000
Simeon Woods Richardson,780000
Pierson Ohl,780000
Colton Gordon,780000
Anthony DeSclafani,780000
Troy Melton,780000
Luis L. Ortiz,780000
Keider Montero,780000
Gordon Graceffo,780000
Jackson Perkins,780000
Daniel Lynch IV,780000
Mike Vasil,780000
David Festa,780000
Caleb Boushley,780000
Brandon Waddell,780000
Brandon Young,780000
Chase Shugart,780000
Valente Bellozo,780000
Yoendrys Gomez,780000
Joe Ross,780000
Chad Green,780000
Chris Flexen,780000
Alek Jacob,780000
Logan Evans,780000
Cal Quantrill,780000
Ryan Pressly,780000
Carlos Carrasco,780000
Carson Seymour,780000
Jose Fermin,780000
Travis Adams,780000
Austin Gomber,780000
Marcus Stroman,780000
Lance McCullers Jr.,780000
Zach Agnos,780000
Bradley Blalock,780000
Carson Palmquist,780000
